ubigeo,departamento,provincia,distrito,a1,ccpp,nombre,a2,a3,longitud,latitud,a4
050508,05,05,08,0,0070,CALIFORNIA UKIN CANCHA,0,2,-73.9930816667,-12.8796200000,3405.6
050508,05,05,08,0,0067,PAMPARACCAY,0,2,-73.9352800000,-12.8693700000,3830.4
050508,05,05,08,0,0013,HUANCAPAMPA,0,2,-73.9614183333,-12.8766983333,3712.1
050508,05,05,08,0,0066,CHACCO,0,2,-73.9278300000,-12.8715366667,3919.5
050508,05,05,08,0,0012,USMAY,0,2,-73.9075683333,-12.8813050000,3897.8
050508,05,05,08,0,0005,MAHUAYURA,0,2,-73.9998700000,-12.8768000000,3572.0
050508,05,05,08,0,0065,ANGASCCOCHA,0,2,-73.9801066667,-12.8602133333,3709.5
050508,05,05,08,0,0004,TAPUNA,0,2,-73.9920516667,-12.8608433333,3642.5
050508,05,05,08,0,0010,HUISCA,0,2,-73.9382033333,-12.8360950000,3691.7
050508,05,05,08,0,0015,YANTA YANTA,0,2,-73.8769083333,-12.8493883333,3609.8
050508,05,05,08,0,0063,VIZCACHAYOQ,0,2,-73.8793750000,-12.8441150000,3579.9
050508,05,05,08,0,0061,PULPERIO,0,2,-73.9394316667,-12.8274333333,3643.4
050508,05,05,08,0,0062,TRANCA,0,2,-73.9507416667,-12.8442616667,3798.7
050407,05,04,07,0,0053,TUTUMBARU,0,2,-73.9479250000,-12.7273383333,1767.1
050503,05,05,03,0,0036,CALICANTO,0,2,-73.9696933333,-12.7396950000,2051.7
050503,05,05,03,0,0041,AURORA ALTA,0,2,-73.9390700000,-12.7270016667,1675.7
050509,05,05,09,0,0028,MARAYNIYUQ,0,2,-73.8331300000,-12.8962850000,3618.5
050509,05,05,09,0,0025,CHAUPIHUAYCCO,0,2,-73.8359266667,-12.8954833333,3605.7
050509,05,05,09,0,0032,UCHUYCUCHICANCHA,0,2,-73.8744933333,-12.8885400000,3832.1
050509,05,05,09,0,0033,QAQAY,0,2,-73.8875066667,-12.8876050000,3933.8
050410,05,04,10,0,0041,PANTI,0,2,-73.9999550000,-12.8136733333,3492.0
050410,05,04,10,0,0047,YANAMONTE,0,2,-73.9987683333,-12.7757333333,2813.6
050410,05,04,10,0,0049,CHILIPATA,0,2,-73.9996716667,-12.7656916667,2892.9
050402,05,04,02,0,0063,CCACHQA,0,2,-74.3470466667,-12.5209483333,3532.8
050402,05,04,02,0,0078,CABALLUYOCC,0,2,-74.2677050000,-12.5348083333,3715.7
050402,05,04,02,0,0062,VIZCATAN,0,2,-74.2699800000,-12.4495550000,1876.9
050402,05,04,02,0,0069,UTCUCCASA,0,2,-74.3133844444,-12.5433511111,3784.0
050407,05,04,07,0,0044,NUEVA ALIANZA,0,2,-73.8826000000,-12.5842916667,1095.2
050407,05,04,07,0,0042,CHALLHUAMAYO,0,2,-73.8902716667,-12.5726100000,1206.7
050407,05,04,07,0,0041,NUEVO PROGRESO,0,2,-73.9051300000,-12.5768566667,1403.5
050407,05,04,07,0,0047,SAN JUAN DE MATUCANA,0,2,-73.8504650000,-12.6031916667,763.9
050407,05,04,07,0,0043,PAMPA HERMOSA,0,2,-73.8758500000,-12.5861133333,907.5
050407,05,04,07,0,0012,MATUCANA ALTA,0,2,-73.8786516667,-12.6056233333,1432.9
050407,05,04,07,0,0057,VILLA ESMERALDA,0,2,-73.8705133333,-12.5946716667,1234.6
050407,05,04,07,0,0048,AREQUIPA BAJA,0,2,-73.8713116667,-12.6221350000,1367.3
050407,05,04,07,0,0040,TRIBOLINE ALTA,0,2,-73.9050600000,-12.5686733333,1353.4
050407,05,04,07,0,0072,CANAN UNIDA,0,2,-73.9004266667,-12.6183433333,1614.0
050407,05,04,07,0,0049,AREQUIPA ALTA,0,2,-73.8716000000,-12.6311850000,1276.8
050407,05,04,07,0,0037,CRUZCCASA,0,2,-73.8581900000,-12.5635950000,1078.4
050407,05,04,07,0,0038,GLORIAPATA,0,2,-73.8708816667,-12.5717116667,1209.8
050407,05,04,07,0,0071,VILLA RICA,0,2,-73.8945566667,-12.5604133333,1555.7
050407,05,04,07,0,0039,BUENOS AIRES,0,2,-73.8810933333,-12.5577533333,1399.0
050407,05,04,07,0,0036,INDEPENDENCIA,0,2,-73.8398083333,-12.5776783333,714.1
050407,05,04,07,0,0034,HUAMAMPATA,0,2,-73.8653700000,-12.5548400000,1046.4
050407,05,04,07,0,0075,NUEVO CANAAN,0,2,-73.8822683333,-12.6722416667,1321.5
050407,05,04,07,0,0050,PAMPAWASI,0,2,-73.8772083333,-12.6672500000,1340.9
050407,05,04,07,0,0051,CAÑAPAMPA,0,2,-73.8714533333,-12.6525650000,1155.7
050407,05,04,07,0,0074,IRQUIS,0,2,-73.9928950000,-12.6568216667,3644.3
050407,05,04,07,0,0052,COTONIA,0,2,-73.8912316667,-12.6928833333,1320.2
050407,05,04,07,0,0054,ANTECCASA,0,2,-73.8746033333,-12.6756966667,1316.3
050407,05,04,07,0,0070,NARANJAL,0,2,-73.9736000000,-12.5765183333,1483.4
050407,05,04,07,0,0069,TUNKIPUKIU,0,2,-73.9801550000,-12.5683200000,1364.6
050407,05,04,07,0,0046,TRIBOLINE,0,1,-73.8598186663,-12.5798612605,799.9
050503,05,05,03,0,0034,AYNA,0,2,-73.9060200000,-12.7249233333,1450.6
050503,05,05,03,0,0042,SANABAMBA,0,2,-73.8734050000,-12.7219300000,1523.0
050503,05,05,03,0,0043,CONAYCA,0,2,-73.8671466667,-12.6983950000,1789.2
050503,05,05,03,0,0031,PALTAYPATA,0,2,-73.8755166667,-12.7087300000,1772.3
050503,05,05,03,0,0049,TRIUNFO ALTA,0,2,-73.8593900000,-12.6987416667,1731.7
050503,05,05,03,0,0025,CCENTABAMBA,0,2,-73.8727966667,-12.6849466667,1121.6
050503,05,05,03,0,0033,SAN CRISTOBAL,0,2,-73.8700600000,-12.6801366667,1179.3
050503,05,05,03,0,0029,CEDROCUCHO,0,2,-73.8526550000,-12.6894916667,1583.0
050503,05,05,03,0,0011,LIMONCHAYOCC,0,2,-73.8460000000,-12.6185266667,1021.5
050503,05,05,03,0,0010,SAN ANTONIO,0,2,-73.8299983333,-12.6209450000,1114.5
050503,05,05,03,0,0040,SANTA TERESA,0,2,-73.8359616667,-12.6222033333,1284.5
050503,05,05,03,0,0021,GRINGO YACU,0,2,-73.8292400000,-12.6348500000,1280.1
050503,05,05,03,0,0012,PUCA YACU,0,2,-73.8522233333,-12.6540300000,1155.4
050503,05,05,03,0,0048,MONTERRICO ALTA EL PROGRESO,0,2,-73.8446366667,-12.6458600000,1206.2
050503,05,05,03,0,0013,MONTERRICO,0,2,-73.8495733333,-12.6448533333,1134.5
