departamento,provincia,distrito,centro_poblado,categoria,codigo_de_ubigeo_y_centro_poblado,longitud,latitud,altitud,poblacion,vivienda,agua_por_red_publica,energia_electrica_en_la_vivienda,desague_por_red_publica,via_de_mayor_uso,transporte_de_mayor_uso,frecuencia,tiempo_en_minutos_hacia_la_capital_del_distrito,distancia_del_centro_poblado_hacia_la_capital_del_distritokm,distancia_del_centro_poblado_hacia_el_centro_poblado_educativo,distancia_del_centro_poblado_hacia_el_centro_de_salud_mas_cerca,alumbrado_publico,telefono_publico,local_comunal,hostal__albergue,estacion_de_radio,institucion_educativa_primaria,institucion_educativa_secundaria,establecimiento_puesto_de_salud,puesto_policial,oficina_de_correo,cabina_de_internet,heladas_nevadas,granizadas,lluvias,sequias,vendavales_vientos_fuertes,inundaciones,derrumbesdeslizamientos,huaycos__aludesaluviones,desertificaciones,salinizacion_de_los_suelos,actividad_volcanica,sismos,tsunami_u_oleadas_anomalos,otros_fenomenos_nat,derrame_de_sustancias_o_desechos_toxicos,fugas_de_gases_toxicos,explosiones,incendios_y_quemas,crianza_de_animales_en_zonas_urbanas,incremento_de_zonas_indus_no_autorizadas,zonas_aereoportuarias,rellenos_sanitarios,subversiones_yo_conflictos_sociales,otros_peligros,un_lecho_de_rio_o_quebrada,un_cuartel_militar_o_policial,una_via_ferrea,la_erosion_de_rios_en_laderas_de_cerros,barrancos_o_precipicios,otros,pistas_y_veredas_en_la_mayori_de_sus_calles_yo_manzanas,canales_de_drenaje_en_las_calles_para_la_evacuacion_de_las_agua,idioma_o_lengua_que_se_habla_con_mayor_frecuencia
AYACUCHO,HUAMANGA,AYACUCHO,AYACUCHO,,0501010001,-74.2251485340,-13.1603220210,2797.1,100935,22000,si,si,si,,,,0,,0.07,0.42,si,no,si,si,no,si,si,si,no,no,si,no,si,si,si,si,no,no,no,no,no,no,no,no,no,no,no,no,si,si,si,si,si,no,no,si,si,no,si,si,no,si,si,quechua
AYACUCHO,HUAMANGA,ACOCRO,ACOCRO,pueblo,0501020001,-74.0419071205,-13.2187307864,3251.3,250,170,si,si,no,,,,0,,6.91,,si,no,no,no,no,si,si,si,no,no,no,si,no,si,no,si,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,si,no,quechua
AYACUCHO,HUAMANGA,ACOS VINCHOS,ACOS VINCHOS,pueblo,0501030001,-74.0999960937,-13.1129921875,2874.2,340,90,si,si,si,,,,0,,2.95,1.8,si,no,no,si,no,si,si,si,si,no,si,si,si,si,si,si,si,si,si,no,no,no,si,no,no,no,no,no,si,si,no,no,no,no,no,si,no,no,no,si,no,no,no,quechua
AYACUCHO,HUAMANGA,CHIARA,CHIARA,pueblo,0501050001,-74.2058603840,-13.2729110222,3540.2,920,240,si,si,si,,,,0,,,39.1,si,si,si,no,no,si,si,si,no,no,si,no,no,no,no,no,no,no,no,no sabe,si,no,no,no,no,no,no,no,no,si,no,no,no,no,no,si,no,no,si,si,no,no,no,quechua
AYACUCHO,HUAMANGA,OCROS,OCROS,,0501060001,-73.9154939849,-13.3906829654,3152.6,100,150,si,si,si,,,,0,,0.08,0.27,si,si,no,si,no,si,si,si,si,no,no,no,si,si,si,si,no,no,no,no,no,no,no,no,no,no,no,no,no,si,no,no,no,no,no,si,si,no,no,si,no,si,no,quechua
AYACUCHO,HUAMANGA,PACAYCASA,PACAYCASA,,0501070001,-74.2159117781,-13.0575959857,2570.6,220,151,si,si,si,,,,0,,0.06,2.61,si,si,no,no,no,si,no,si,no,no,no,no,no,si,si,si,no,si,si,si,no,no,si,no,no,no,no,no,si,si,no,no,no,no,no,no,no,no,no,no,no,si,no,quechua
AYACUCHO,HUAMANGA,QUINUA,QUINUA,,0501080001,-74.1391883333,-13.0492516667,3301.2,1000,500,si,si,si,,,,0,,0.32,0.23,si,si,si,si,no,si,si,si,si,no,si,si,si,si,si,si,no,no,no,no,no,no,si,no,no,si,no,no,si,si,no,no,si,si,no,si,si,no,si,si,no,no,si,quechua
AYACUCHO,HUAMANGA,SAN JOSE DE TICLLAS,TICLLAS,pueblo,0501090001,-74.3329826174,-13.1322899276,3282.3,100,30,si,si,si,,,,0,,0.14,0.08,si,si,si,no,no,si,si,si,no,no,no,si,si,si,si,si,si,no,no,no,no,no,no,no,no,no,no,no,no,si,no,no,si,si,no,si,no,no,si,si,no,no,no,quechua
AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,SAN JUAN BAUTISTA,,0501100001,-74.2237088040,-13.1667078080,2785.6,45000,9998,si,si,si,,,,0,,0.01,0.27,si,si,no,si,si,si,si,si,no,si,si,no,si,si,si,si,no,no,no,no,no,no,no,no,no,no,no,no,no,si,no,no,si,no,no,si,no,no,si,si,no,si,no,quechua
AYACUCHO,HUAMANGA,SANTIAGO DE PISCHA,SAN PEDRO DE CACHI,pueblo,0501110001,-74.3932098146,-13.0854820016,3210.3,85,76,si,si,si,,,,0,,0.02,0.08,si,no,no,no,no,si,si,si,no,no,no,no,si,si,si,si,no,no,no,no,no,si,no,no,no,si,no,no,no,si,no,no,no,no,no,si,no,no,no,si,no,no,no,quechua
AYACUCHO,HUAMANGA,SOCOS,SOCOS,pueblo,0501120001,-74.2894299751,-13.2149046322,3367.8,3000,800,si,si,si,,,,0,,0.02,0.5,si,no,si,si,no,si,si,si,no,no,no,no,no,si,si,si,no,si,no,no,no,no,si,no,no,no,no,no,no,si,no,no,no,no,no,si,no,no,si,si,no,si,no,quechua
AYACUCHO,HUAMANGA,TAMBILLO,TAMBILLO,pueblo,0501130001,-74.1105694093,-13.1947693787,3110.7,80,60,si,si,si,,,,0,,0.07,16.71,si,no,si,si,no,si,si,no,no,no,no,no,si,si,no,si,si,si,si,no,no,no,si,no,no,no,no,no,no,si,no,no,no,no,no,no,no,no,no,si,no,no,no,quechua
AYACUCHO,HUAMANGA,VINCHOS,VINCHOS,pueblo,0501140001,-74.3542101386,-13.2416288064,3154.6,250,200,si,si,si,,,,0,,0.11,0.26,si,no,si,si,no,si,si,si,si,no,si,no,no,si,no,no,si,no,si,no,no,no,no,no,no,no,no,no,no,si,no,no,no,no,no,si,no,no,no,no,no,no,no,quechua
AYACUCHO,HUAMANGA,JESUS NAZARENO,LAS NAZARENAS,,0501150001,-74.2125465380,-13.1540859510,2816.6,22000,9000,si,si,si,,,,0,,,2.63,si,si,si,si,si,si,si,si,si,si,si,no,si,si,no,si,no,no,no,no,no,no,no,no,no,no,no,no,no,si,no,no,no,no,no,si,si,no,no,no,no,si,no,quechua
AYACUCHO,CANGALLO,CANGALLO,CANGALLO,,0502010001,-74.1438202655,-13.6290325367,2573.7,1800,600,si,si,si,,,,0,,0.12,0.26,si,no,si,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,si,no,no,no,no,no,si,no,no,no,si,no,si,si,quechua
AYACUCHO,CANGALLO,CHUSCHI,CHUSCHI,,0502020001,-74.3516450377,-13.5850092783,3156.7,600,354,si,si,si,,,,0,,0.04,0.09,si,no,si,no,no,si,si,no,no,no,no,si,si,si,no,si,no,no,si,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,si,si,no,no,no,no,si,si,
AYACUCHO,CANGALLO,LOS MOROCHUCOS,PAMPA - CANGALLO,,0502030001,-74.1951030756,-13.5576286767,3345.6,2000,400,si,si,si,,,,0,,0.13,3.93,si,si,si,si,si,si,si,si,no,no,si,si,si,si,si,si,no,no,no,no,no,no,si,no,no,no,no,no,si,si,no,no,si,no,no,si,si,no,no,no,no,no,no,
AYACUCHO,CANGALLO,MARIA PARADO DE BELLIDO,POMABAMBA,,0502040001,-74.2363879572,-13.6047335018,3244.8,200,125,si,si,si,,,,0,,0.03,0.26,si,no,si,si,no,si,si,si,no,si,si,si,si,si,si,si,si,si,si,no,no,no,no,no,no,no,no,no,si,si,no,no,no,no,no,si,no,no,no,no,no,no,no,
AYACUCHO,CANGALLO,PARAS,PARAS,,0502050001,-74.6277563106,-13.5525355308,3353.8,550,300,si,si,si,,,,0,,0.1,0.32,si,no,no,si,no,si,si,si,no,no,no,no,no,no,no,si,no,no,no,no,no,no,no,no,no,no,no,no,no,si,no,no,no,no,no,no,no,no,si,no,no,no,no,
AYACUCHO,CANGALLO,TOTOS,TOTOS,,0502060001,-74.5228046925,-13.5676186660,3333.4,480,230,si,si,si,,,,0,,0.06,11.8,no,no,si,no,no,si,no,no,no,no,no,si,si,si,si,si,no,no,no,no,no,no,no,no,no sabe,no,no,no,no,si,no,no,no,no,no,si,no,no,no,si,no,si,no,
AYACUCHO,HUANCA SANCOS,SANCOS,HUANCA SANCOS,,0503010001,-74.3341438810,-13.9197725900,3433.2,4000,1300,si,si,si,,,,0,,0.04,0.55,si,si,si,si,si,si,si,si,si,si,si,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,quechua
AYACUCHO,HUANCA SANCOS,CARAPO,CARAPO,,0503020001,-74.3155258346,-13.8373919372,3245.8,125,328,si,si,si,,,,0,,0.02,0.26,si,no,si,no,no,si,si,si,no,no,no,si,si,si,si,si,no,no,no,no,no,no,no,no,no,no,no,no,no,si,no,no,si,no,no,si,no,no,si,si,no,no,no,
AYACUCHO,HUANCA SANCOS,SACSAMARCA,SACSAMARCA,,0503030001,-74.3128545476,-13.9426844036,3463.2,1400,405,si,si,si,,,,0,,0.13,0.81,si,si,si,si,no,si,si,si,no,no,si,si,si,si,si,si,no,si,si,no,no,no,no,no,no,no,no,no,no,si,no,no,si,no,no,si,no,no,si,si,no,si,no,
AYACUCHO,HUANCA SANCOS,SANTIAGO DE LUCANAMARCA,SANTIAGO DE LUCANAMARCA,,0503040001,-74.3723291046,-13.8437593171,3512.1,500,200,si,si,si,,,,0,,0.2,0.16,si,si,no,no,no,si,si,si,no,no,si,si,si,si,si,si,no,no,no,no,no,no,no,no,no,no,no,no,no,si,no,no,no,no,no,no,no,no,no,no,no,no,no,
AYACUCHO,HUANTA,HUANTA,HUANTA,,0504010001,-74.2502456810,-12.9380513039,2684.5,42000,9998,si,si,si,,,,0,,0.06,0.22,si,no,si,no,no,si,no,si,no,no,no,si,si,si,no,si,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,si,si,no,si,si,no,si,no,quechua
AYACUCHO,HUANTA,AYAHUANCO,VIRACOCHAN,,0504020001,-74.3307864528,-12.5939762319,2699.1,250,150,no,si,no,,,,0,,0.28,0.08,si,no,si,no,no,si,no,si,no,no,no,no,si,si,si,si,no,si,si,no,no,no,si,no,no,no,no,no,si,no,no,no,no,no,no sabe,si,no,no,no,si,no,no,no,
AYACUCHO,HUANTA,HUAMANGUILLA,HUAMANGUILLA,,0504030001,-74.1729573486,-13.0110335178,3300.4,1000,700,no,si,si,,,,0,,0.17,3.69,si,si,si,no,si,si,si,si,no,no,si,no,no,si,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,si,no,no,no,no,si,no,
AYACUCHO,HUANTA,IGUAIN,MACACHACRA,,0504040001,-74.2089457632,-12.9925747993,3062.8,415,270,si,si,si,,,,0,,0.14,11.28,si,no,si,no,no,si,no,no,no,no,no,si,si,si,no sabe,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,si,si,no,si,no,no,no,si,no,no,no,
AYACUCHO,HUANTA,LURICOCHA,LURICOCHA,,0504050001,-74.2736941000,-12.8995984225,2598.4,1500,400,si,si,si,,,,0,,0.04,0.23,si,no,si,no,no,si,si,no,no,no,no,si,si,si,no,si,no,no,si,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,si,no,no,no,no,no,si,no,quechua
AYACUCHO,HUANTA,SANTILLANA,SAN JOSE DE SECCE,,0504060001,-74.2530917970,-12.7663964840,3265.0,600,250,si,si,si,,,,0,,0.07,0.06,si,no,no,no,no,si,si,si,no,no,no,si,si,si,si,si,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,si,no,no,si,no,no,no,
AYACUCHO,HUANTA,SIVIA,SIVIA,,0504070001,-73.8590166531,-12.5118306946,561.4,2800,900,si,si,si,,,,0,,0.22,0.6,si,si,si,si,no,si,si,si,no,no,no,no,no,no,no,no,si,no,no,no,no,no,no,no,no,no,no,no,no,si,no,no,no,no,no,si,si,no,si,no,no,si,no,
AYACUCHO,HUANTA,LLOCHEGUA,LLOCHEGUA,,0504080001,-73.9064333333,-12.4098616667,539.9,2600,650,si,si,si,,,,0,,0.44,0.93,no,no,si,no,no,si,si,si,no,no,no,no,no,si,si,si,si,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,si,si,no,no,no,no,no,no,
AYACUCHO,LA MAR,SAN MIGUEL,SAN MIGUEL,NEP,0505010001,-73.9812368749,-13.0127834322,2696.4,1400,1200,si,si,si,,,,0,,0.08,0.06,si,si,si,si,si,si,si,si,si,si,si,no,no,si,si,si,si,si,si,si,si,no,no,no,no,no,no,no,no,si,no,no,si,si,no,si,si,no,si,si,no,si,no,castellano
AYACUCHO,LA MAR,ANCO,CHIQUINTIRCA,pueblo,0505020001,-73.7070222815,-13.0604162461,3212.6,200,120,si,si,si,,,,0,,3.31,19.31,si,si,no,si,si,si,si,si,no,si,no,si,si,si,si,no,no,no,no,no,no,no,no,no,no,no,no,no,no,si,no,no,no,no,no,si,no,no,no,si,no,no,no,quechua
AYACUCHO,LA MAR,AYNA,SAN FRANCISCO,,0505030001,-73.7895723973,-12.6241476403,627.4,3000,550,si,si,si,,,,0,,0.1,,si,si,no,no,no,si,si,si,si,no,no,no,no,si,no,no,si,si,si,no,no,no,no,no,si,no,no,no,si,si,no,no,si,si,no,si,si,no,si,si,no,si,no,
AYACUCHO,LA MAR,CHILCAS,CHILCAS,pueblo,0505040001,-73.9064327809,-13.1712183377,3192.0,200,120,si,si,si,,,,0,,0.04,0.27,si,no,no,si,no,si,si,si,no,no,no,no,si,no,si,si,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,si,no,no,no,quechua
AYACUCHO,LA MAR,CHUNGUI,CHUNGUI,pueblo,0505050001,-73.6215983333,-13.2223033333,3505.7,400,350,si,si,si,,,,0,,0.08,39.78,si,si,si,si,no,si,si,si,si,no,no,si,si,si,no,si,si,si,si,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,si,si,no,si,si,no,no,no,quechua
AYACUCHO,LA MAR,LUIS CARRANZA,PAMPAS,pueblo,0505060001,-73.8943973115,-13.2289114718,2962.3,350,100,si,si,si,,,,0,,0.93,0.95,si,si,si,si,si,si,si,si,no,no,no,no,si,si,si,si,no,si,si,no sabe,no,no,no,no,no,no sabe,no sabe,no sabe,si,si,no,no,no,no,no,no,no,no,si,si,no,no,no,quechua
AYACUCHO,LA MAR,SANTA ROSA,SANTA ROSA,,0505070001,-73.7357502002,-12.6878422813,728.7,3000,1700,si,si,si,,,,0,,3.09,0.24,si,no,si,no,no,si,no,no,no,no,no,no,no,si,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,si,si,no,no,no,no,si,si,quechua
AYACUCHO,LA MAR,TAMBO,TAMBO,,0505080001,-74.0207685893,-12.9481132881,3237.1,5000,200,si,si,si,,,,0,,0.15,9.01,si,si,si,si,si,si,si,si,si,si,si,si,si,si,no,si,no,no,no,no,no,no,no,no,no,no,no,no,no,si,no,no,si,no,no,si,si,no,si,si,no,no,no,quechua
AYACUCHO,LA MAR,SAMUGARI,PALMAPAMPA,pueblo,0505090001,-73.6556821575,-12.7683182028,753.7,12435,4500,si,si,si,,,,0,,0.05,0.28,no,no,no,no,no,si,si,si,no,no,si,no,no,no,si,no,no,no,no,no,no,no,si,no,no,no,no,no,no,no,no,si,no,no,no,no,si,no,no,no,no,no,no,
AYACUCHO,LUCANAS,PUQUIO,PUQUIO,,0506010001,-74.1244652227,-14.6941209434,3233.7,2400,1200,si,si,si,,,,0,,0.01,0.07,si,no,si,no,no,si,no,no,no,no,no,si,si,si,si,si,no,si,si,no,no,no,si,no,no,no,no,no,no,si,no,no,si,no,no,si,si,no,no,si,no,si,si,quechua
AYACUCHO,LUCANAS,AUCARA,AUCARA,,0506020001,-73.9752407673,-14.2811239198,3235.7,1000,450,no,si,si,,,,0,,0.42,0.94,si,no,si,no,no,si,no,no,no,no,no,si,si,si,si,si,si,no,no,no,si,no,si,no,no,no,no,no,no,si,no,no,si,si,no,si,no,no,si,si,no,no,no,quechua
AYACUCHO,LUCANAS,CABANA,CABANA,,0506030001,-73.9672416667,-14.2884250000,3298.0,2500,600,si,no,no,,,,0,,0.86,0.17,si,no,si,si,no,si,si,si,no,no,no,si,si,si,si,si,no,si,no,no,no,no,si,no,no sabe,no,no,no,no,no,no,no,no,no,no sabe,si,si,no,no,si,no sabe,no,si,
AYACUCHO,LUCANAS,CARMEN SALCEDO,ANDAMARCA,,0506040001,-73.9619756085,-14.3878056444,3478.1,1500,1000,si,si,si,,,,0,,0.07,0.4,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,no,no,no,no,no,no,si,no,no,no,no,no,si,si,no,no,si,no,no,si,si,no,si,si,no,si,si,
AYACUCHO,LUCANAS,CHAVIÑA,CHAVIÑA,,0506050001,-73.8374036401,-14.9793322597,3338.0,2116,615,si,si,si,,,,0,,0.02,0.21,si,si,si,si,si,si,si,si,no,no,si,si,si,si,si,no,si,si,si,si,no,no,si,no,no,si,no,no,no,si,no,no,no,no,no,si,no,no,si,si,no,si,si,
AYACUCHO,LUCANAS,CHIPAO,CHIPAO,,0506060001,-73.8760744259,-14.3656945345,3440.1,480,551,si,si,si,,,,0,,0.05,6.3,si,no,si,si,no,si,no,si,no,no,no,si,si,si,si,si,si,si,si,no,no,no,si,no,no,no,no,no,si,si,no,no,no,si,no,si,no,no,si,si,no,no,no,
AYACUCHO,LUCANAS,HUAC-HUAS,HUAC-HUAS,,0506070001,-74.9423072706,-14.1316771753,3188.8,280,200,si,si,si,,,,0,,0.06,10.94,si,si,si,no,no,si,si,si,no,no,no,si,no,si,no,no,no,no,no,no,no,no,si,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,si,no,si,si,quechua
AYACUCHO,LUCANAS,LARAMATE,LARAMATE,,0506080001,-74.8425630486,-14.2862427227,3078.4,1100,290,no,si,no,,,,0,,0.13,0.27,si,si,si,si,si,si,si,si,si,no,no,si,no,si,no,si,no,no,no,no,no,no,si,no,no,no,no,no,no,si,no,no,no,no,no,si,no,no,si,no,no,no,no,quechua
AYACUCHO,LUCANAS,LEONCIO PRADO,TAMBO QUEMADO,,0506090001,-74.6703433333,-14.7285950000,2695.9,200,150,no,si,no,,,,0,,0.02,0.1,si,no,si,no,no,si,si,si,no,no,no,si,no,si,no,si,no,si,si,no,no,no sabe,si,no,no,no,no,no,no,no,no,no,si,no,no,si,no,no,no,si,no,no,no,quechua
AYACUCHO,LUCANAS,LLAUTA,LLAUTA,,0506100001,-74.9203458604,-14.2437132211,2666.1,240,60,si,si,si,,,,0,,0.02,,si,no,si,no,no,si,si,si,no,no,no,si,no,si,si,no,no,si,si,si,no,no,si,no,no sabe,no,no,no,no,si,no,no,si,no,no,si,no,no,no,no,no sabe,no,no,quechua
AYACUCHO,LUCANAS,LUCANAS,LUCANAS,,0506110001,-74.2331897118,-14.6226243256,3385.2,250,200,si,si,si,,,,0,,,0.07,si,no,no,no,no,si,si,si,no,no,no,si,si,si,si,si,no,no,si,si,no,no,si,no,no,no,no,no,no,si,no,no,no,no,no,no,no,no,no,no,no,si,si,quechua
AYACUCHO,LUCANAS,OCAÑA,OCAÑA,,0506120001,-74.8227390114,-14.3989262785,2650.0,1500,300,si,si,si,,,,0,,0.07,16.42,si,no,si,no,no,si,si,si,no,no,no,si,no,si,si,si,no,no,no,no,no,no,si,no,no,no,no,no,no,no,no,no,no,no,no,si,no,no,no,no,no,si,si,quechua
AYACUCHO,LUCANAS,OTOCA,OTOCA,,0506130001,-74.6867395171,-14.4900701587,1882.8,500,250,si,si,si,,,,0,,0.08,0.35,si,si,si,si,si,si,si,si,si,no,no,no,no,si,si,si,si,si,si,no,no,no,si,no,no,no,no,no,no,si,no,no,si,no,no,si,si,no,no,si,no,no,no,quechua
AYACUCHO,LUCANAS,SAISA,SAISA,,0506140001,-74.4171250000,-14.9403250000,3070.4,350,130,si,si,si,,,,0,,0.07,0.23,si,si,si,si,no,si,si,si,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,si,si,no,no,no,no,no,si,no,no,no,si,no,no,si,quechua
AYACUCHO,LUCANAS,SAN CRISTOBAL,SAN CRISTOBAL,,0506150001,-74.2222338047,-14.7430837034,3586.6,1005,257,no,si,si,,,,0,,0.05,29.07,si,no,si,no,no,si,si,si,no,no,no,si,si,si,no,si,no,si,si,no,no,no,si,no,no,no,no,no,no,si,no,no,no,no,no,si,no,no,no,si,no,no,si,
AYACUCHO,LUCANAS,SAN JUAN,SAN JUAN,,0506160001,-74.1991654957,-14.6515309054,3290.3,500,300,si,si,si,,,,0,,0.02,0.33,si,no,si,no,no,si,si,si,no,no,no,no,no,si,no,si,no,si,no,no,no,no,no,no,no,no,no,si,si,si,no,no,no,no,no,si,no,no,si,si,no,no,no,quechua
AYACUCHO,LUCANAS,SAN PEDRO,SAN PEDRO,,0506170001,-74.0978561414,-14.7670686487,3115.1,386,289,si,si,si,,,,0,,0.05,0.12,si,no,no,no,no,si,no,no,no,no,no,si,si,si,si,si,si,si,si,no,no,no,si,no,no,no,no,no,si,no,no,no,si,no,no,si,no,no,no,si,no,si,si,
AYACUCHO,LUCANAS,SAN PEDRO DE PALCO,SAN PEDRO DE PALCO,,0506180001,-74.6512705997,-14.4120509933,2537.6,200,81,si,si,si,,,,0,,,0.04,si,no,si,no,no,si,si,si,no,no,no,si,si,si,no,si,no,no,no,no,no,no,si,no,no,no,no,no,no,si,no,no,no,no,no,si,no,no,no,no,no,si,si,quechua
AYACUCHO,LUCANAS,SANCOS,SANCOS,,0506190001,-73.9521816510,-15.0628235043,2825.5,,,,,,,,,0,,,0.42,si,no,si,no,no,si,si,si,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYACUCHO,LUCANAS,SANTA ANA DE HUAYCAHUACHO,SANTA ANA DE HUAYCAHUACHO,,0506200001,-73.9566599445,-14.2264417212,2983.9,1000,600,si,si,si,,,,0,,1.08,0.58,si,si,si,no,no,si,si,si,no,no,si,si,no,si,si,no,no,no,no,si,no,no,si,no,no,no,no,no,si,si,no,no,no,no,no,si,no,no,no,no,no,no,no,
AYACUCHO,LUCANAS,SANTA LUCIA,SANTA LUCIA,,0506210001,-74.5239383354,-14.9783480889,2252.3,200,52,si,si,si,,,,0,,,0.13,si,no,no,no,no,si,si,si,no,no,no,no,no,si,si,no,no,no,no,no sabe,no,no,si,no,no sabe,no,no,no,no,no,no,no,no,no,no,si,no,no,no,no,no,no,no,quechua
